No.,チャンネル名,所属,登録者数,最終投稿日,ゲーム動画率,日本語率,主なジャンル,自動判定,あなたの判定,チャンネルURL,直近タイトル例
53,Shoto,海外VTuber,1720000,2026-08-26,0.0,0.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UCgwJ4ReZqFOw_Y6eTEIunDQ,I envy people with close families
54,おんりー / ドズル社,追加指定,1710000,2026-08-27,0.4,1.0,シューター,残す,,https://www.youtube.com/channel/UC5l8bnxxl26Q5PDG_jawcuw,みんなでアイテム15万個集めるまで終われません！【ファーストペンギン/おんりー視点】
55,さとみ【すとぷり】,,1700000,2026-08-28,0.95,1.0,RPG,残す,,https://www.youtube.com/channel/UC-1uvY3U4sMSGi52IcT_fWQ,【第五人格】視聴者参加型！新ハンター心の獣を試す【IdentityⅤ】【第五人格】【すとぷり】
56,Kanata Ch. 天音かなた,ホロライブ,1690000,2025-12-31,0.08,0.92,,残す,,https://www.youtube.com/channel/UCZlDXzGoo7d44bwdNObFacg,Shiny Smily Story (Sololive.ver) / 天音かなた
57,Kanae Channel,にじさんじ,1630000,2026-08-27,0.5,1.0,シューター,残す,,https://www.youtube.com/channel/UCspv01oxUFf_MTSipURRhkA,ゴルフやったことないけどうまいと思うんだよね。  | VCC GOLF【にじさんじ/叶】
58,もこうの実況,実況者,1610000,2026-08-27,0.63,1.0,アドベンチャー,残す,,https://www.youtube.com/channel/UCENoC6MLc4pL-vehJyzSWmg,【神回】20ターンの間1秒も目を離せないマリオパーティ。【マリオパーティジャンボリー】実況プレイ
59,Matsuri Channel 夏色まつり,ホロライブ,1600000,2026-08-27,0.67,1.0,シューター,残す,,https://www.youtube.com/channel/UCQ0UDLQCjY0rmuxCDE38FGg,【鳴潮】アップデートきちゃ～！！新共鳴者の予感！？【ホロライブ/夏色まつり】
60,Botan Ch.獅白ぼたん,ホロライブ,1590000,2026-08-25,0.59,1.0,シューター,残す,,https://www.youtube.com/channel/UCUKD-uaobj9jiqB-VXt71mA,【レーシングマスター】推しマシンで勝つ！！推しマシン大合戦 #PR【獅白ぼたん/ホロライブ】
61,HAACHAMA Ch 赤井はあと,ホロライブ,1590000,2026-08-28,0.0,1.0,,外す（ゲーム動画なし）,,https://www.youtube.com/channel/UC1CfXB_kRs3C-zaeTG3oGyg,ヲタクに料理させてみた・・・【ホロライブ/赤井はあと】
62,Laplus ch. ラプラス・ダークネス - holoX -,ホロライブ,1580000,2026-08-25,0.14,1.0,RPG,残す,,https://www.youtube.com/channel/UCENwRMx5Yh42zWpzURebzTw,🎶歌うよ！I’m gonna sing! 노래할게!🎤
63,Towa Ch. 常闇トワ,ホロライブ,1580000,2026-08-27,0.93,1.0,アドベンチャー,残す,,https://www.youtube.com/channel/UC1uv2Oq6kNxgATlCiez59hw,【 DAY6 】#ホロ7大豆劇場 ‼️焼森におさらばじゃああああ‼️【常闇トワ/ホロライブ】
64,ぐっちの部屋(ミラクルぐっち),実況者,1580000,2026-09-05,0.16,1.0,アクション（ハクスラ）,残す,,https://www.youtube.com/channel/UCKezegV3t5njyVLoeLhYi0A,ぐちお、暴走するドクターイエローをとめろ
65,モンスト（モンスターストライク）公式,,1560000,2026-09-01,1.0,1.0,,残す,,https://www.youtube.com/channel/UCd9BXPj-KcMTh0HiB-Vlb8A,【M4オーディション】三次選考の最終回直前！第2回生配信後のインタビューをお届け！【モンスト公式】
66,カズゲームズ/Gaming Kazu,実況者,1540000,2026-08-21,0.7,1.0,シューター,残す,,https://www.youtube.com/channel/UCu3Mp1ZimtNvyA-bcfo9VrQ,【#マイクラなつにっき】ただいま戻りました
