name	channel_id	affiliation
夢野あかり	UCS5l_Y0oMVTjEos2LuyeSZQ	ぶいすぽっ！
銀城サイネ	UC2xXx1m1jeL0W84_0jTg-Yw	ぶいすぽっ！
龍巻ちせ	UCoW8qQy80mKH0RJTKAK-nNA	ぶいすぽっ！
渋谷ハル	UChLfthKoUV502J7gU9STArg	Neo-Porte
柊ツルギ	UCWnQDjlXTLDyYowc3LaHyJQ	Neo-Porte
夜絆ニウ	UCZmUoMwjyuQ59sk5_7Tx07A	Neo-Porte
白雪レイド	UCIu-aUArYq_H84dBpCAokMA	Neo-Porte
緋月ゆい	UCuk7vapXKckSw6yCGGDspDg	Neo-Porte
天帝フォルテ	UC8hwewh9svh92E1gXvgVazg	Neo-Porte
水無瀬	UCEy9cYULQrC2cRlVqJPCcSw	Neo-Porte
絲依とい	UCZrYHIPsKhYAXqOls2kQQNQ	Neo-Porte
昏昏アリア	UCo6mwsozDGMW0UNGowBJGhg	Neo-Porte
或世イヌ	UCbBLqA4HRowpj2JuLrkig5w	Neo-Porte
白那しずく	UCAHQGIKolfBfoeXXMY79SBA	Neo-Porte
心白てと	UCEtUOMEAuAMz8dor89rt2RA	Neo-Porte
光葉エニ	UCdVYY2166hyjUAMHwp2almg	Neo-Porte
久我レオ	UCmpEFsiD67ZOjn2CCJoo1mw	Neo-Porte
鬼ヶ谷テン	UCv3EicDtxObcZZmnFcHvNnw	Neo-Porte
甘音あむ	UC6FprWVXuULaY9mZOcqTe4A	Neo-Porte
麻倉シノ	UCTxoJgb4DzMd7tiM8cvf4PA	Neo-Porte
幽乃うつろ	UCEk1_ZVGRiVV-gxHT9wdNMg	Neo-Porte
青桐エイト	UC4Xuz67FNRr69ILv2b7ZRBA	Neo-Porte
八神ツクモ	UCKuwxopq9c3cldzSOo4ceSA	Neo-Porte
日裏クロ	UCElYE3bfzjjmJ9xwjvro9Yw	Neo-Porte
瀬尾カザリ	UCNGMMdEgYIUR6rC44v9aZ8w	Neo-Porte
鱗水スイ	UCyk04zbgBkxlFccIU7Uf67Q	Neo-Porte
凪夢夛	UCVQROe7sDdROh4x0BpYHP1w	Neo-Porte
因幡はねる	UC0Owc36U9lOyi9Gx9Ic-4qg	ななしいんく
西園寺メアリ	UCwePpiw1ocZRSNSkpKvVISw	ななしいんく
龍ヶ崎リン	UC2hc-00y-MSR6eYA4eQ4tjQ	ななしいんく
杏戸ゆげ	UC3EhsuKdEkI99TWZwZgWutg	ななしいんく
柚原いづみ	UCW8WKciBixmaqaGqrlTITRQ	ななしいんく
家入ポポ	UC_hjHmi-ODGhHlSzD16p5Pw	ななしいんく
風見くく	UCXp7sNC0F_qkjickvlYkg-Q	ななしいんく
宗谷いちか	UC2kyQhzGOB-JPgcQX9OMgEw	ななしいんく
堰代ミコ	UCDh2bWI5EDu7PavqwICkVpA	ななしいんく
飛良ひかり	UCFsWaTQ7kT76jNNGeGIKNSA	ななしいんく
島村シャルロット	UCYTz3uIgwVY3ZU-IQJS8r3A	ななしいんく
蛇宵ティア	UCrt4cTM_sWH0iySLMkwwYLQ	ななしいんく
花奏かのん	UCmqrvfLMws-GLGHQcB5dasg	ななしいんく
湖南みあ	UC4PrHgUcAtOoj_LKmUL-uLQ	ななしいんく
緑青くれは	UCiWkgRl4asSN5kRUSWgRLWQ	ななしいんく
瀬島るい	UC_WOBIopwUih0rytRnr_1Ag	ななしいんく
天羽衣	UCW98GVLrx8lG_ddOts3cl4g	ななしいんく
月野木ちろる	UCqskJ0nmw-_eweWfsKvbrzQ	ななしいんく
茜音カンナ	UCkpqb53xiOvOgNYEbNpFSyw	ななしいんく
季咲あんこ	UChXm-xAYPfygrbyLo2yCASQ	ななしいんく
天絆ささは	UCuX1NOTF2wZVXo8WP1q7uLw	ななしいんく
羽流鷲りりり	UCLK0cRXu3PY7cPbdWiVYemA	ななしいんく
幽音しの	UCTbEua7o1f8I7EMBQlLjTpQ	ななしいんく
瑚白ユリ	UCGyywYAJd2O5Y7yUyr7qBRQ	ななしいんく
日向ましゅ	UCBhfuPYgo5ALbn6WmTXwHwg	ななしいんく
ここ・じぇす汰	UCuDfldiO-ujdFC-36eYMl2g	ななしいんく
汐鳴みりね	UCoXWDfyKkziR0C01Zp559-Q	ななしいんく
アズリ	UC4oIghT3W9Y99nyiNCTXwlg	ななしいんく
漆瀬レイ	UCpFy8D37SUStmeWh38NuppA	ななしいんく
涼海ネモ	UCBJ6nejlzes6mm9UruaxQsA	ななしいんく
獅子王クリス	UC--A2dwZW7-M2kID0N6_lfA	ななしいんく
虎城アンナ	UCvPPBoTOor5gm8zSlE2tg4w	ななしいんく
不磨わっと	UCV4EoK6BVNl7wxuxpUvvSWA	ななしいんく
大浦るかこ	UC3xG1XWzAKt5dxSxktJvtxg	ななしいんく
橙里セイ	UCBxw5bdrbKO7E60E4s3KgQg	ななしいんく
紫水キキ	UC3MBUvkVTI9p-p0be7y7TQA	ななしいんく
狼森メイ	UCRY0-zJ1pV4EiKUSLXCXTAg	ななしいんく
いなうるう	UCxCdPRbi-s5J74A6KgkxnQg	ななしいんく
音霊魂子	UCt7_srJeiw55kTcK7M9ID6g	あおぎり高校
栗駒こまる	UCXXnWssOLdB2jg-4CznteAA	あおぎり高校
山黒音玄	UCs-lYkwb-NYKE9_ssTRDK3Q	あおぎり高校
春雨麗女	UCmiYJycZXBGc4s_zjIRUHhQ	あおぎり高校
千代浦蝶美	UCyY6YeINiwQoA-FnmdQCkug	あおぎり高校
我部りえる	UCFvEuP2EDkvrgJpHI6-pyNw	あおぎり高校
エトラ	UCAHXqn4nAd2j3LRu1Qyi_JA	あおぎり高校
ぷわぷわぽぷら	UC1sBUU-y9FlHNukwsrR4bmA	あおぎり高校
石狩あかり	UC7wZb5INldbGweowOhBIs8Q	あおぎり高校
萌実	UCIwHOJn_3QjBTwQ_gNj7WRA	あおぎり高校
月赴ゐぶき	UCxy3KNlLQiN64tikKipnQNg	あおぎり高校
うる虎がーる	UCdi5pj0MDQ-3LFNUFIFmD8w	あおぎり高校
八十科むじな	UCXXlhNCp1EPbDQ2pzmmy9aw	あおぎり高校
大代真白	UCFG6teapZaN6J1oVXl7MYPA	あおぎり高校
甘狼このみ	UCbntVBSebvO5zT3cQYIxbWQ	ミリプロ
音ノ乃のの	UCqe0-vqZwAvZUb22wCMu1fA	ミリプロ
あくび・でもんすぺーど	UC5SSy3julTJHzmExQJjLUkw	ミリプロ
音ノ瀬らこ	UCH-SLA_jpPhM2lzdZjZDxjQ	ミリプロ
虹深°ぬふ	UCj63OWl-HQ-I6ORzUWF1EDg	ミリプロ
小廻こま	UC_upTZ0otpptV5KARBsnIPg	ミリプロ
ゆらぎゆら	UCjKPgy9YPt16z8AFMi-TLeA	ミリプロ
眠雲ツクリ	UCekc8SI533NI675r9aCBRcQ	ミリプロ
雨夜リズ	UCtQwleVyBMjBGNuUQ7a-KYg	ミリプロ
しぐれうい	UCt30jJgChL8qeT9VPadidSw	個人勢
kson	UC9ruVYPv7yJmV0Rh0NKA-Lw	個人勢
